#TYPE Selected.System.Management.ManagementObject
"ConfigManagerUserConfig","AdapterType","Name"
"False",,"Microsoft Kernel Debug Network Adapter"
"False","Ethernet 802.3","Bluetooth Device (Personal Area Network)"
"False","Ethernet 802.3","Intel(R) Wi-Fi 6 AX201 160MHz"
"False","Ethernet 802.3","Microsoft Wi-Fi Direct Virtual Adapter"
"False","Ethernet 802.3","VirtualBox Host-Only Ethernet Adapter"
"False","Ethernet 802.3","Microsoft Wi-Fi Direct Virtual Adapter #2"
"False",,"WAN Miniport (SSTP)"
"False",,"WAN Miniport (IKEv2)"
"False",,"WAN Miniport (L2TP)"
"False",,"WAN Miniport (PPTP)"
"False",,"WAN Miniport (PPPOE)"
"False","Ethernet 802.3","WAN Miniport (IP)"
"False","Ethernet 802.3","WAN Miniport (IPv6)"
"False","Ethernet 802.3","WAN Miniport (Network Monitor)"
