#TYPE Selected.System.Diagnostics.Process
"PorcessName","Path","Id"
,"C:\Windows\system32\ApplicationFrameHost.exe","10416"
,"C:\Windows\system32\AUDIODG.EXE","18228"
,"C:\Windows\System32\CompPkgSrv.exe","23504"
,"C:\Windows\system32\conhost.exe","4364"
,"C:\Windows\system32\conhost.exe","4796"
,"C:\Windows\system32\conhost.exe","7056"
,"C:\Windows\system32\conhost.exe","10160"
,"C:\Windows\system32\conhost.exe","11096"
,"C:\Windows\system32\conhost.exe","11576"
,"C:\Windows\system32\conhost.exe","16580"
,"C:\Windows\system32\conhost.exe","16968"
,,"848"
,,"1004"
,"C:\Windows\system32\ctfmon.exe","9340"
,"C:\Windows\system32\dashost.exe","3948"
,"C:\Windows\system32\dashost.exe","7788"
,"C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe","16852"
,"C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe","10956"
,"C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe","16884"
,"C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe","15100"
,"C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.DCF.UA.Bradbury.API.SubAgent.exe","11012"
,"C:\Program Files\Dell\TechHub\Dell.TechHub.exe","14856"
,"C:\Program Files\Dell\DTP\AnalyticsSubAgent\Dell.TechHub.Analytics.SubAgent.exe","16996"
,"C:\Program Files\Dell\DTP\DataManagerSubAgent\Dell.TechHub.DataManager.SubAgent.exe","8596"
,"C:\Program Files\Dell\DTP\DiagnosticsSubAgent\Dell.TechHub.Diagnostics.SubAgent.exe","8672"
,"C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","3596"
,"C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","4564"
,"C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe","12092"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","3808"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","11728"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","12696"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","15532"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","16672"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9023\Discord.exe","18324"
,"C:\Windows\system32\DllHost.exe","8692"
