#TYPE Selected.System.Management.ManagementObject
"Name","PathName"
"AJRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"ALG","C:\Windows\System32\alg.exe"
"AppIDSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Appinfo","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppReadiness","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"autotimesvc","C:\Windows\system32\svchost.exe -k autoTimeSvc"
"AxInstSV","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"BDESVC","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"BTAGService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"BthAvctpSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"bthserv","C:\Windows\system32\svchost.exe -k LocalService -p"
"camsvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"CertPropSvc","C:\Windows\system32\svchost.exe -k netsvcs"
"ClickToRunSvc","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"ClipSVC","C:\Windows\System32\svchost.exe -k wsappx -p"
"COMSysApp","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"cplspcon","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3fd734cf72127ac9\IntelCpHDCPSvc.exe"
"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"dcpm-notify","""C:\Program Files\Dell\CommandPowerManager\NotifyService.exe"""
"dcsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DDVCollectorSvcApi","""C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe"""
"DDVDataCollector","""C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe"""
"DDVRulesProcessor","""C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe"""
"defragsvc","C:\Windows\system32\svchost.exe -k defragsvc"
"Dell Digital Delivery Services","""C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe"""
"Dell SupportAssist Remediation","""C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe"""
"Dell.CommandPowerManager.Service","C:\Windows\system32\dllhost.exe /Processid:{441D7C13-EA07-4157-A639-08F9DD0200EC}"
"DellClientManagementService","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe"""
"DellTechHub","""C:\Program Files\Dell\TechHub\Dell.TechHub.exe"""
"DeviceAssociationService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevQueryBroker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"diagnosticshub.standardcollector.service","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"diagsvc","C:\Windows\System32\svchost.exe -k diagnostics"
"DiagTrack","C:\Windows\System32\svchost.exe -k utcsvc -p"
"DispBrokerDesktopSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DmEnrollmentSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"dmwappushservice","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Dnscache","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DoSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"dot3svc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DPS","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DsmSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DsSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DusmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Eaphost","C:\Windows\System32\svchost.exe -k netsvcs -p"
"edgeupdate","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"edgeupdatem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
"EFS","C:\Windows\System32\lsass.exe"
"embeddedmode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EntAppSvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"esifsvc","""C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_1da48d5885266bb7\esif_uf.exe"""
"EventLog","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","C:\Windows\system32\svchost.exe -k LocalService -p"
"Fax","C:\Windows\system32\fxssvc.exe"
"fdPHost","C:\Windows\system32\svchost.exe -k LocalService -p"
"FDResPub","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"fhsvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache","C:\Windows\system32\svchost.exe -k LocalService -p"
"FontCache3.0.0.0","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"FrameServer","C:\Windows\System32\svchost.exe -k Camera"
"GameInput Service","""C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe"""
"GamingServices","C:\Program Files\WindowsApps\Microsoft.GamingServices_15.81.24001.0_x64__8wekyb3d8bbwe\GamingServices.exe"
"GamingServicesNet","C:\Program Files\WindowsApps\Microsoft.GamingServices_15.81.24001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"
"GoogleChromeElevationService","""C:\Program Files\Google\Chrome\Application\119.0.6045.106\elevation_service.exe"""
"gpsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"gupdate","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc"
"gupdatem","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc"
"hidserv","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hns","C:\Windows\system32\svchost.exe -k NetSvcs -p"
"HvHost","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"iaStorAfsService","C:\Windows\System32\iaStorAfsService.exe"
"icssvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"igccservice","""C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_a687edda40db3316\OneApp.IGCC.WinService.exe"""
"igfxCUIService2.0.0.0","C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_6673c5322430fc8a\igfxCUIServiceN.exe"
"IKEEXT","C:\Windows\system32\svchost.exe -k netsvcs -p"
"InstallService","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Intel(R) Capability Licensing Service TCP IP Interface","C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_367008a610747d24\lib\SocketHeciServer.exe"
"Intel(R) TPM Provisioning Service","C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_367008a610747d24\lib\TPMProvisioningService.exe"
"IntelAudioService","C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_c34ea2dc251566b0\\AS\\IAS\\IntelAudioService.exe"
"iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"IpxlatCfgSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"JetBrainsEtwHost.16","""C:\Program Files\JetBrains\ETW Host\16\JetBrains.Etw.Collector.Host.exe"""
"jhi_service","C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_64d7fcfcde9b9c10\jhi_service.exe"
"KeyIso","C:\Windows\system32\lsass.exe"
"KtmRm","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"LanmanServer","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","C:\Windows\System32\svchost.exe -k NetworkService -p"
"lfsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LicenseManager","C:\Windows\System32\svchost.exe -k LocalService -p"
"lltdsvc","C:\Windows\System32\svchost.exe -k LocalService -p"
"lmhosts","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LMS","C:\Windows\System32\DriverStore\FileRepository\lms.inf_amd64_fddb643595e0b8d0\LMS.exe"
"LSM","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"LxpSvc","C:\Windows\system32\svchost.exe -k netsvcs"
"LxssManager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService -p"
"McAfee WebAdvisor","""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe"""
"McpManagementService","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup"
"MicrosoftEdgeElevationService","""C:\Program Files (x86)\Microsoft\Edge\Application\119.0.2151.44\elevation_service.exe"""
"MixedRealityOpenXRSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"MozillaMaintenance","""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe"""
"mpssvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"MSDTC","C:\Windows\System32\msdtc.exe"
"MSiSCSI","C:\Windows\system32\svchost.exe -k netsvcs -p"
"msiserver","C:\Windows\system32\msiexec.exe /V"
"MySQL80","""C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe"" --defaults-file=""C:\ProgramData\MySQL\MySQL Server 8.0\my.ini"" MySQL80"
"NaturalAuthentication","C:\Windows\system32\svchost.exe -k netsvcs -p"
"NcaSvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"NcbService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NcdAutoSetup","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Netlogon","C:\Windows\system32\lsass.exe"
"Netman","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","C:\Windows\System32\svchost.exe -k LocalService -p"
"NetSetupSvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"NetTcpPortSharing","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"NgcCtnrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NlaSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"nsi","C:\Windows\system32\svchost.exe -k LocalService -p"
"nvagent","C:\Windows\system32\svchost.exe -k NetSvcs"
"p2pimsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"p2psvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PcaSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"perceptionsimulation","C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe"
"PerfHost","C:\Windows\SysWow64\perfhost.exe"
"PhoneSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"pla","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"PlugPlay","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PNRPAutoReg","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PNRPsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PolicyAgent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PrintNotify","C:\Windows\system32\svchost.exe -k print"
"ProfSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"PushToInstall","C:\Windows\System32\svchost.exe -k netsvcs -p"
"QWAVE","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"RAPSService","""C:\Program Files\Rivet Networks\SmartByte\RAPSService.exe"""
"RasAuto","C:\Windows\System32\svchost.exe -k netsvcs -p"
"RasMan","C:\Windows\System32\svchost.exe -k netsvcs"
"RemoteAccess","C:\Windows\System32\svchost.exe -k netsvcs"
"RemoteRegistry","C:\Windows\system32\svchost.exe -k localService -p"
"RetailDemo","C:\Windows\System32\svchost.exe -k rdxgroup"
"RmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"RNDBWM","""C:\Program Files\Rivet Networks\SmartByte\RNDBWMService.exe"""
"RpcEptMapper","C:\Windows\system32\svchost.exe -k RPCSS -p"
"RpcLocator","C:\Windows\system32\locator.exe"
"RpcSs","C:\Windows\system32\svchost.exe -k rpcss -p"
"RstMwService","C:\Windows\System32\DriverStore\FileRepository\iastorvd.inf_amd64_15c9ea6001a5206d\RstMwService.exe"
"RtkAudioUniversalService","""C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_444148fa7298b49f\RtkAudUService64.exe"""
"SamSs","C:\Windows\system32\lsass.exe"
"SCardSvr","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"ScDeviceEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Schedule","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SCPolicySvc","C:\Windows\system32\svchost.exe -k netsvcs"
"SDRSVC","C:\Windows\system32\svchost.exe -k SDRSVC"
"seclogon","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SecurityHealthService","C:\Windows\system32\SecurityHealthService.exe"
"SEMgrSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"SENS","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SensorDataService","C:\Windows\System32\SensorDataService.exe"
"SensorService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensrSvc","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SessionEnv","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SessionSvc","C:\Windows\System32\drivers\GoodixSessionService.exe"
"SgrmBroker","C:\Windows\system32\SgrmBroker.exe"
"SharedAccess","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SharedRealitySvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"ShellHWDetection","C:\Windows\System32\svchost.exe -k netsvcs -p"
"shpamsvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SmartByte Analytics Service","""C:\Program Files\Rivet Networks\SmartByte\SmartByteAnalyticsService.exe"""
"SmartByte Network Service x64","""C:\Program Files\Rivet Networks\SmartByte\SmartByteNetworkService.exe"""
"smphost","C:\Windows\System32\svchost.exe -k smphost"
"SmsRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"SNMPTRAP","C:\Windows\System32\snmptrap.exe"
