#TYPE Selected.System.Diagnostics.Process
"PorcessName","Path","Id"
,"C:\Windows\system32\ApplicationFrameHost.exe","17292"
,"C:\Windows\system32\AUDIODG.EXE","14164"
,"C:\Windows\system32\backgroundTaskHost.exe","17156"
,"C:\Windows\System32\CompPkgSrv.exe","15988"
,"C:\Windows\system32\conhost.exe","6836"
,"C:\Windows\system32\conhost.exe","8228"
,"C:\Windows\system32\conhost.exe","11820"
,"C:\Windows\system32\conhost.exe","16264"
,"C:\Windows\system32\conhost.exe","17268"
,"C:\Windows\system32\conhost.exe","17760"
,"C:\Windows\system32\conhost.exe","18836"
,"C:\Windows\system32\conhost.exe","23296"
,,"1048"
,,"1160"
,"C:\Windows\system32\ctfmon.exe","8960"
,"C:\Windows\system32\dashost.exe","3416"
,"C:\Windows\system32\dashost.exe","4144"
,"C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe","18036"
,"C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe","1696"
,"C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe","16960"
,"C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe","10264"
,"C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.DCF.UA.Bradbury.API.SubAgent.exe","11724"
,"C:\Program Files\Dell\TechHub\Dell.TechHub.exe","2972"
,"C:\Program Files\Dell\DTP\AnalyticsSubAgent\Dell.TechHub.Analytics.SubAgent.exe","1836"
,"C:\Program Files\Dell\DTP\DataManagerSubAgent\Dell.TechHub.DataManager.SubAgent.exe","11260"
,"C:\Program Files\Dell\DTP\DiagnosticsSubAgent\Dell.TechHub.Diagnostics.SubAgent.exe","3624"
,"C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","2824"
,"C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","14536"
,"C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe","11752"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","956"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","6084"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","12956"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","17092"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","22376"
,"C:\Users\jgrot\AppData\Local\Discord\app-1.0.9020\Discord.exe","25960"
,"C:\Windows\system32\DllHost.exe","12116"
,"C:\Windows\system32\DllHost.exe","12268"
,"C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_1da48d5885266bb7\dptf_helper.exe","8040"
,"C:\Windows\system32\dwm.exe","1784"
,"C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_1da48d5885266bb7\esif_uf.exe","4808"
,"C:\Windows\explorer.exe","12528"
,"C:\Program Files\Mozilla Firefox\firefox.exe","3780"
,"C:\Program Files\Mozilla Firefox\firefox.exe","10260"
,"C:\Program Files\Mozilla Firefox\firefox.exe","14736"
,"C:\Program Files\Mozilla Firefox\firefox.exe","16076"
,"C:\Program Files\Mozilla Firefox\firefox.exe","19040"
,"C:\Program Files\Mozilla Firefox\firefox.exe","19504"
,"C:\Program Files\Mozilla Firefox\firefox.exe","20796"
,"C:\Program Files\Mozilla Firefox\firefox.exe","20872"
,"C:\Program Files\Mozilla Firefox\firefox.exe","20980"
,"C:\Program Files\Mozilla Firefox\firefox.exe","21928"
,"C:\Program Files\Mozilla Firefox\firefox.exe","22368"
